Day,x,y,Weather,Action,Replenish,O,H,F,M,Z
1,1,15,normal,move_right,None,100,150,100,750,200
2,1,16,normal,move_down,None,98,147,98,750,200
3,2,16,normal,move_right,None,96,144,96,750,200
4,2,17,normal,move_down,None,94,141,94,750,200
5,3,17,normal,move_right,None,92,138,92,750,200
6,3,18,normal,move_down,None,90,135,90,750,200
7,4,18,storm,move_right,None,88,132,88,750,200
8,4,19,normal,move_down,None,80,128,85,750,200
9,5,19,normal,move_right,None,78,125,83,750,200
10,5,20,normal,move_down,None,76,122,81,750,200
11,6,20,normal,move_right,None,74,119,79,750,200
12,6,21,normal,work,None,72,116,77,750,200
13,6,21,normal,work,None,67,112,74,750,220
14,6,21,normal,work,None,62,108,71,750,240
15,6,21,normal,work,None,57,104,68,750,260
16,6,21,normal,move_down,None,52,100,65,750,280
17,7,21,normal,move_down,None,50,97,63,750,280
18,8,21,normal,move_left,None,48,94,61,750,280
19,8,20,storm,move_down,None,46,91,59,750,280
20,9,20,normal,move_left,None,38,87,56,750,280
21,9,19,storm,move_down,None,36,84,54,750,280
22,10,19,normal,move_left,None,28,80,51,750,280
23,10,18,normal,move_down,None,26,77,49,750,280
24,11,18,normal,move_left,None,24,74,47,750,280
25,11,17,storm,move_down,None,22,71,45,750,280
26,12,17,normal,move_left,None,14,67,42,750,280
27,12,16,normal,replenish,"(112, 67, 44)",12,64,40,750,280
28,12,16,normal,move_left,None,123,130,83,371,280
29,12,15,storm,move_left,None,121,127,81,371,280
30,12,14,normal,move_left,None,113,123,78,371,280
31,12,13,storm,move_left,None,111,120,76,371,280
32,12,12,normal,move_down,None,103,116,73,371,280
33,13,12,normal,move_left,None,101,113,71,371,280
34,13,11,storm,move_down,None,99,110,69,371,280
35,14,11,normal,move_left,None,91,106,66,371,280
36,14,10,normal,move_down,None,89,103,64,371,280
37,15,10,storm,move_left,None,87,100,62,371,280
38,15,9,normal,move_right,None,79,96,59,371,280
39,15,10,storm,move_down,None,77,93,57,371,280
40,16,10,normal,move_right,None,69,89,54,371,280
41,16,11,normal,move_down,None,67,86,52,371,280
42,17,11,normal,move_right,None,65,83,50,371,280
43,17,12,normal,move_down,None,63,80,48,371,280
44,18,12,normal,move_right,None,61,77,46,371,280
45,18,13,normal,move_down,None,59,74,44,371,280
46,19,13,normal,move_right,None,57,71,42,371,280
47,19,14,normal,move_down,None,55,68,40,371,280
48,20,14,normal,move_right,None,53,65,38,371,280
49,20,15,normal,move_down,None,51,62,36,371,280
50,21,15,normal,move_right,None,49,59,34,371,280
51,21,16,normal,replenish,"(102, 61, 41)",47,56,32,371,280
52,21,16,normal,move_right,None,148,116,72,24,280
53,21,17,normal,move_right,None,146,113,70,24,280
54,21,18,storm,move_right,None,144,110,68,24,280
55,21,19,normal,move_right,None,136,106,65,24,280
56,21,20,normal,move_right,None,134,103,63,24,280
57,21,21,normal,move_down,None,132,100,61,24,280
58,22,21,normal,move_right,None,130,97,59,24,280
59,22,22,normal,move_down,None,128,94,57,24,280
60,23,22,normal,move_right,None,126,91,55,24,280
61,23,23,storm,move_down,None,124,88,53,24,280
62,24,23,normal,move_right,None,116,84,50,24,280
63,24,24,normal,work,None,114,81,48,24,280
64,24,24,normal,work,None,109,77,45,24,308
65,24,24,storm,work,None,104,73,42,24,336
66,24,24,normal,move_left,None,96,67,36,24,364
67,24,23,normal,move_left,None,94,64,34,24,364
68,24,22,normal,move_left,None,92,61,32,24,364
69,24,21,normal,move_down,None,90,58,30,24,364
70,25,21,normal,move_left,None,88,55,28,24,364
71,25,20,normal,move_down,None,86,52,26,24,364
72,26,20,storm,move_left,None,84,49,24,24,364
73,26,19,storm,move_down,None,76,45,21,24,364
74,27,19,normal,move_left,None,68,41,18,24,364
75,27,18,normal,move_down,None,66,38,16,24,364
76,28,18,normal,move_left,None,64,35,14,24,364
77,28,17,storm,move_down,None,62,32,12,24,364
78,29,17,normal,move_left,None,54,28,9,24,364
79,29,16,normal,move_down,None,52,25,7,24,364
80,30,16,normal,move_left,None,50,22,5,24,364
