Day,x,y,Weather,Action,Replenish,O,H,F,M,Z
1,1,15,normal,stay,None,100,150,100,750,200
2,1,15,normal,stay,None,99,149,99,750,200
3,1,15,storm,stay,None,98,148,98,750,200
4,1,15,normal,move_left,None,95,145,96,750,200
5,1,14,normal,stay,None,93,142,94,750,200
6,1,14,storm,move_down,None,92,141,93,750,200
7,2,14,storm,stay,None,84,137,90,750,200
8,2,14,normal,move_left,None,81,134,88,750,200
9,2,13,normal,move_left,None,79,131,86,750,200
10,2,12,storm,stay,None,77,128,84,750,200
11,2,12,normal,move_right,None,74,125,82,750,200
12,2,13,normal,stay,None,72,122,80,750,200
13,2,13,normal,stay,None,71,121,79,750,200
14,2,13,normal,move_up,None,70,120,78,750,200
15,1,13,normal,move_down,None,68,117,76,750,200
16,2,13,normal,stay,None,66,114,74,750,200
17,2,13,storm,move_up,None,65,113,73,750,200
18,1,13,normal,stay,None,57,109,70,750,200
19,1,13,normal,move_down,None,56,108,69,750,200
20,2,13,normal,move_right,None,54,105,67,750,200
21,2,14,normal,move_down,None,52,102,65,750,200
22,3,14,normal,move_down,None,50,99,63,750,200
23,4,14,normal,move_left,None,48,96,61,750,200
24,4,13,normal,move_right,None,46,93,59,750,200
25,4,14,normal,stay,None,44,90,57,750,200
26,4,14,normal,move_right,None,43,89,56,750,200
27,4,15,normal,move_left,None,41,86,54,750,200
28,4,14,normal,move_up,None,39,83,52,750,200
29,3,14,normal,stay,None,37,80,50,750,200
30,3,14,normal,move_up,None,36,79,49,750,200
31,2,14,normal,move_right,None,34,76,47,750,200
32,2,15,normal,stay,None,32,73,45,750,200
33,2,15,storm,move_up,None,31,72,44,750,200
34,1,15,normal,stay,None,23,68,41,750,200
35,1,15,normal,stay,None,22,67,40,750,200
36,1,15,storm,stay,None,21,66,39,750,200
37,1,15,normal,move_left,None,18,63,37,750,200
38,1,14,normal,stay,None,16,60,35,750,200
39,1,14,storm,stay,None,15,59,34,750,200
40,1,14,normal,move_right,None,12,56,32,750,200
41,1,15,normal,stay,None,10,53,30,750,200
42,1,15,normal,stay,None,9,52,29,750,200
43,1,15,normal,move_right,None,8,51,28,750,200
44,1,16,normal,move_down,None,6,48,26,750,200
45,2,16,normal,stay,None,4,45,24,750,200
46,2,16,normal,stay,None,3,44,23,750,200
47,2,16,normal,move_up,None,2,43,22,750,200
48,1,16,storm,move_left,None,0,40,20,750,200
