Day,x,y,Weather,Action,Replenish,O,H,F,M,Z
1,1,15,normal,move_down,None,100,150,100,750,200
2,2,15,normal,move_down,None,98,147,98,750,200
3,3,15,normal,move_down,None,96,144,96,750,200
4,4,15,normal,move_down,None,94,141,94,750,200
5,5,15,normal,move_down,None,92,138,92,750,200
6,6,15,normal,move_right,None,90,135,90,750,200
7,6,16,storm,move_right,None,88,132,88,750,200
8,6,17,normal,move_right,None,80,128,85,750,200
9,6,18,normal,move_right,None,78,125,83,750,200
10,6,19,normal,move_right,None,76,122,81,750,200
11,6,20,normal,move_right,None,74,119,79,750,200
12,6,21,normal,work,None,72,116,77,750,200
13,6,21,normal,work,None,67,112,74,750,220
14,6,21,normal,work,None,62,108,71,750,240
15,6,21,normal,work,None,57,104,68,750,260
16,6,21,normal,move_down,None,52,100,65,750,280
17,7,21,normal,move_up,None,50,97,63,750,280
18,6,21,normal,work,None,48,94,61,750,280
19,6,21,storm,work,None,43,90,58,750,300
20,6,21,normal,work,None,35,84,52,750,320
21,6,21,storm,work,None,30,80,49,750,340
22,6,21,normal,move_down,None,22,74,43,750,360
23,7,21,normal,move_up,None,20,71,41,750,360
24,6,21,normal,work,None,18,68,39,750,360
25,6,21,storm,work,None,13,64,36,750,380
26,6,21,normal,work,None,5,58,30,750,400
27,6,21,normal,work,None,0,54,27,750,420
